ID,Imported table,Title (from Imported table),DOI (from Imported table),Mosquito species,Mosquito subsp,Mosquito origin (country),Virus,Virus strain,DENV serotype,Notes,Attachments,Status
272,"""Huang, YJS; Lyons, AC; Hsu, WW; Park, SL; Higgs, S; Vanlandingham, DL""",Differential outcomes of Zika virus infection in Aedes aegypti orally challenged with infectious blood meals and infectious protein meals,10.1371/journal.pone.0182386,Aedes aegypti,,,Zika virus,PRVABC59 (Asian lineage),,,,
513,"""Wang, ZM; Zhang, XL; Li, CX; Zhang, YM; Xing, D; Wu, YM; Zhao, TY""",Vector Competence of Five Common Mosquito Species in the People's Republic of China for Western Equine Encephalitis Virus,10.1089/vbz.2011.0660,Culex pipiens, pallens,,Western equine encephalitis virus,McMillan strain,,,,
514,"""Wang, ZM; Zhang, XL; Li, CX; Zhang, YM; Xing, D; Wu, YM; Zhao, TY""",Vector Competence of Five Common Mosquito Species in the People's Republic of China for Western Equine Encephalitis Virus,10.1089/vbz.2011.0660,Culex quinquefasciatus,,,Western equine encephalitis virus,McMillan strain,,,,
515,"""Wang, ZM; Zhang, XL; Li, CX; Zhang, YM; Xing, D; Wu, YM; Zhao, TY""",Vector Competence of Five Common Mosquito Species in the People's Republic of China for Western Equine Encephalitis Virus,10.1089/vbz.2011.0660,Culex tritaeniorhynchus,,,Western equine encephalitis virus,McMillan strain,,,,
516,"""Wang, ZM; Zhang, XL; Li, CX; Zhang, YM; Xing, D; Wu, YM; Zhao, TY""",Vector Competence of Five Common Mosquito Species in the People's Republic of China for Western Equine Encephalitis Virus,10.1089/vbz.2011.0660,Aedes aegypti,,,Western equine encephalitis virus,McMillan strain,,,,
517,"""Wang, ZM; Zhang, XL; Li, CX; Zhang, YM; Xing, D; Wu, YM; Zhao, TY""",Vector Competence of Five Common Mosquito Species in the People's Republic of China for Western Equine Encephalitis Virus,10.1089/vbz.2011.0660,Aedes albopictus,,,Western equine encephalitis virus,McMillan strain,,,,
132,"""Bonica, MB; Goenaga, S; Martin, ML; Feroci, M; Luppo, V; Muttis, E; Fabbri, C; Morales, MA; Enria, D; Micieli, MV; Levis, S""",Vector competence of Aedes aegypti for different strains of Zika virus in Argentina,10.1371/journal.pntd.0007433,Aedes aegypti,,Argentina,Zika virus,Asian lineage (strain ARCB116141),,,,
133,"""Bonica, MB; Goenaga, S; Martin, ML; Feroci, M; Luppo, V; Muttis, E; Fabbri, C; Morales, MA; Enria, D; Micieli, MV; Levis, S""",Vector competence of Aedes aegypti for different strains of Zika virus in Argentina,10.1371/journal.pntd.0007433,Aedes aegypti,,Argentina,Zika virus,Asian lineage (strain ARCH125797),,,,
469,"""Lourenco-de-Oliveira, R; Rua, AV; Vezzani, D; Willat, G; Vazeille, M; Mousson, L; Failloux, AB""",Aedes aegypti from temperate regions of South America are highly competent to transmit dengue virus,10.1186/1471-2334-13-610,Aedes aegypti,,Argentina,Dengue virus,DENV-2,DENV-2,,,
1029,"""AVILES, G; SABATTINI, MS; MITCHELL, CJ""","TRANSMISSION OF WESTERN EQUINE ENCEPHALOMYELITIS VIRUS BY ARGENTINE AEDES-ALBIFASCIATUS (DIPTERA, CULICIDAE)",10.1093/jmedent/29.5.850,Aedes albifasciatus,,Argentina,Western equine encephalitis virus,WEE Cba CIV 180,,,,
236,"""Hall-Mendelin, S; Pyke, AT; Moore, PR; Ritchie, SA; Moore, FAJ; van den Hurk, AF""",Characterization of a Western Pacific Zika Virus Strain in Australian Aedes aegypti,10.1089/vbz.2017.2232,Aedes aegypti,,Australia,Zika virus,Asian lineage (TS17-2016),,,,
262,"""Fraser, JE; De Bruyne, JT; Iturbe-Ormaetxe, I; Stepnell, J; Burns, RL; Flores, HA; O'Neill, SL""",Novel Wolbachia-transinfected Aedes aegypti mosquitoes possess diverse fitness and vector competence phenotypes,10.1371/journal.ppat.1006751,Aedes aegypti,,Australia,Dengue virus,DENV-3 (Cairns 08/09),DENV-3,,,
315,"""Hugo, LE; Prow, NA; Tang, B; Devine, G; Suhrbier, A""",Chikungunya virus transmission between Aedes albopictus and laboratory mice,10.1186/s13071-016-1838-1,Aedes albopictus,,Australia,Chikungunya virus,LR2006-OPY1,,,,
314,"""Ye, YXH; Chenoweth, SF; Carrasco, AM; Allen, SL; Frentiu, FD; van den Hurk, AF; Beebe, NW; McGraw, EA""",Evolutionary potential of the extrinsic incubation period of dengue virus in Aedes aegypti,10.1111/evo.13039,Aedes aegypti,,Australia,Dengue virus,DENV-3,DENV-3,,,
360,"""Ye, YH; Carrasco, AM; Dong, Y; Sgro, CM; McGraw, EA""",The Effect of Temperature on Wolbachia-Mediated Dengue Virus Blocking in Aedes aegypti,10.4269/ajtmh.15-0801,Aedes aegypti,,Australia,Dengue virus,DENV-3,DENV-3,,,
362,"""Aliota, MT; Walker, EC; Yepes, AU; Velez, ID; Christensen, BM; Osorio, JE""",The wMel Strain of Wolbachia Reduces Transmission of Chikungunya Virus in Aedes aegypti,10.1371/journal.pntd.0004677,Aedes aegypti,,Australia,Chikungunya virus,CHIKV isolate 99659,,,,
