Authors,DOI,Journal,Title,Abstract,IncludeAbstract,Reason,Flag for exclusion,Exclusion reason,Year,Linked records
"Holicki, CM; Scheuch, DE; Ziegler, U; Lettow, J; Kampen, H; Werner, D; Groschup, MH",10.1186/s13071-020-04532-1,PARASITES & VECTORS,German Culex pipiens biotype molestus and Culex torrentium are vector-competent for Usutu virus,"Background Usutu virus (USUV) is a rapidly spreading zoonotic arbovirus (arthropod-borne virus) and a considerable threat to the global avifauna and in isolated cases to human health. It is maintained in an enzootic cycle involving ornithophilic mosquitoes as vectors and birds as reservoir hosts. Despite massive die-offs in wild bird populations and the detection of severe neurological symptoms in infected humans, little is known about which mosquito species are involved in the propagation of USUV. Methods In the present study, the vector competence of a German (i.e. ""Central European"") and a Serbian (i.e. ""Southern European"") Culex pipiens biotype molestus laboratory colony was experimentally evaluated. For comparative purposes, Culex torrentium, a frequent species in Northern Europe, and Aedes aegypti, a primarily tropical species, were also tested. Adult female mosquitoes were exposed to bovine blood spiked with USUV Africa 2 and subsequently incubated at 25 degrees C. After 2 to 3 weeks saliva was collected from each individual mosquito to assess the ability of a mosquito species to transmit USUV. Results Culex pipiens biotype molestus mosquitoes originating from Germany and the Republic of Serbia and Cx. torrentium mosquitoes from Germany proved competent for USUV, as indicated by harboring viable virus in their saliva 21 days post infection. By contrast, Ae. aegypti mosquitoes were relatively refractory to an USUV infection, exhibiting low infection rates and lacking virus in their saliva. Conclusions Consistent with the high prevalences and abundances of Cx. pipiens biotype molestus and Cx. torrentium in Central and Northern Europe, these two species have most likely played a historic role in the spread, maintenance, and introduction of USUV into Germany. Identification of the key USUV vectors enables the establishment and implementation of rigorous entomological surveillance programs and the development of effective, evidence-based vector control interventions.",Y,,,,2020,"1,2,3"
"Lequime, S; Dehecq, JS; Matheus, S; de Laval, F; Almeras, L; Briolant, S; Fontaine, A",10.1371/journal.ppat.1009068,PLOS PATHOGENS,Modeling intra-mosquito dynamics of Zika virus and its dose-dependence confirms the low epidemic potential of Aedes albopictus,"Author summary Zika virus (ZIKV) has emerged worldwide and triggered large outbreaks in human populations. While the yellow fever mosquito Aedes aegypti is considered the primary vector of ZIKV, the Asian tiger mosquito Aedes albopictus has been shown experimentally to transmit the virus and has been involved in a few autochthonous transmission in France in 2019. Here, we provide a comprehensive study on the ability of Ae. albopictus mosquitoes to transmit ZIKV by considering the within-host dynamics of ZIKV infection in humans and its impact on both mosquito infection probability and time to mosquito infectiousness. These empirical data were then leveraged by in silico simulations to embed them into their epidemiological context. Our study reveals a low but existing epidemic potential of Ae. albopictus for ZIKV, whatever their tropical or temperate origins. We identified mosquito density as a predictor for ZIKV outbreak occurrence when vectored by Ae. albopictus. Our findings help to explain the absence of large scale ZIKV epidemics in territories occupied by Ae. albopictus but call for active surveillance and eradication programs to maintain the risk of emergence to a low level. Originating from African forests, Zika virus (ZIKV) has now emerged worldwide in urbanized areas, mainly transmitted by Aedes aegypti mosquitoes. Although Aedes albopictus can transmit ZIKV experimentally and was suspected to be a ZIKV vector in Central Africa, the potential of this species to sustain virus transmission was yet to be uncovered until the end of 2019, when several autochthonous transmissions of the virus vectored by Ae. albopictus occurred in France. Aside from these few locally acquired ZIKV infections, most territories colonized by Ae. albopictus have been spared so far. The risk level of ZIKV emergence in these areas remains however an open question. To assess Ae. albopictus' vector potential for ZIKV and identify key virus outbreak predictors, we built a complete framework using the complementary combination of (i) dose-dependent experimental Ae. albopictus exposure to ZIKV followed by time-dependent assessment of infection and systemic infection rates, (ii) modeling of intra-human ZIKV viremia dynamics, and (iii) in silico epidemiological simulations using an Agent-Based Model. The highest risk of transmission occurred during the pre-symptomatic stage of the disease, at the peak of viremia. At this dose, mosquito infection probability was estimated to be 20%, and 21 days were required to reach the median systemic infection rates. Mosquito population origin, either temperate or tropical, had no impact on infection rates or intra-host virus dynamic. Despite these unfavorable characteristics for transmission, Ae. albopictus was still able to trigger and yield large outbreaks in a simulated environment in the presence of sufficiently high mosquito biting rates. Our results reveal a low but existing epidemic potential of Ae. albopictus for ZIKV, that might explain the absence of large scale ZIKV epidemics so far in territories occupied only by Ae. albopictus. They nevertheless support active surveillance and eradication programs in these territories to maintain the risk of emergence to a low level.",M,TBD,,,2020,4
"Gutierrez-Bugallo, G; Boullis, A; Martinez, Y; Hery, L; Rodriguez, M; Bisset, JA; Vega-Rua, A",10.1371/journal.pntd.0008941,PLOS NEGLECTED TROPICAL DISEASES,"Vector competence of Aedes aegypti from Havana, Cuba, for dengue virus type 1, chikungunya, and Zika viruses","Author summary Dengue (DENV), Zika (ZIKV), and chikungunya (CHIKV) viruses are mainly transmitted by Aedes aegypti mosquitoes and together caused near 10 million human cases in the last decade in the Americas. The diseases caused by these viruses share symptoms ranging from mild clinical manifestations to severe complications, including fatal outcomes. Cuba has not been exempted from these viruses and is frequently subjected to dengue and more recently by diseases caused by ZIKV infection. Surprisingly, despite multiple CHIKV outbreaks recorded in neighboring countries, local circulation has not been reported in Havana. Although Ae. aegypti has been implicated as the major DENV and ZIKV vector because of its wide distribution on the island, neither field nor experimental approaches have been used to demonstrate the ability of Cuban Ae. aegypti populations to transmit DENVs, ZIKV, and CHIKV. In this laboratory study, we demonstrated that two Ae. aegypti populations from Havana could become infected with and transmit these viruses, albeit at low rates. Our paper suggests that the absence of CHIKV circulation in Havana was not related to refractoriness of Ae. aegypti populations to this virus; therefore, vector control remains being essential in preventing future arboviruses outbreaks. Background Like many countries from the Americas, Cuba is threatened by Aedes aegypti-associated arboviruses such as dengue (DENV), Zika (ZIKV), and chikungunya (CHIKV) viruses. Curiously, when CHIKV was actively circulating in the region in 2013-2014, no autochthonous transmission of this virus was detected in Havana, Cuba, despite the importation of chikungunya cases into this city. To investigate if the transmission ability of local mosquito populations could explain this epidemiological scenario, we evaluated for the first time the vector competence of two Ae. aegypti populations (Pasteur and Parraga) collected from Havana for dengue virus type 1 (DENV-1), CHIKV, and ZIKV. Methodology/Principal findings Mosquito populations were fed separately using blood containing ZIKV, DENV-1, or CHIKV. Infection, dissemination, and transmission rates, were estimated at 3 (exclusively for CHIKV), 7, and 14 days post exposure (dpe) for each Ae. aegypti population-virus combination. Both mosquito populations were susceptible to DENV-1 and ZIKV, with viral infection and dissemination rates ranging from 24-97% and 6-67% respectively. In addition, CHIKV disseminated in both populations and was subsequently transmitted. Transmission rates were low (<30%) regardless of the mosquito population/virus combination and no ZIKV was detected in saliva of females from the Pasteur population at any dpe. Conclusions/Significance Our study demonstrated the ability of Ae. aegypti from Cuba to transmit DENV, ZIKV, and CHIKV. These results, along with the widespread distribution and high abundance of this species in the urban settings throughout the island, highlight the importance of Ae. aegypti control and arbovirus surveillance to prevent future outbreaks.",Y,,,,2020,"6,7,5"
"White, AV; Fan, M; Mazzara, JM; Roper, RL; Richards, SL",10.1002/jmv.26686,JOURNAL OF MEDICAL VIROLOGY,Mosquito-infecting virus Espirito Santo virus inhibits replication and spread of dengue virus,"The primary vector of dengue virus (DENV) is Aedes aegypti. The mosquito-infecting virus, Espirito Santo virus (ESV), does not infect Vero (mammalian) cells and grows in mosquito (C6/36) cells without cytopathic effects. Effects of ESV infection on replication of DENV were explored in vitro and in vivo, analyzing protein, RNA genome expression, and plaque formation. ESV and DENV simultaneous coinfection did not block protein synthesis from either virus but did result in inhibition of DENV replication in mosquito cells. Furthermore, ESV superinfected with DENV resulted in inhibition of DENV replication and spread in A. aegypti, thus reducing vector competence. Tissue culture experiments on viral kinetics of ESV and DENV coinfection showed that neither virus significantly affects the replication of the other in Vero, HeLa, or HEK cells. Hence, ESV blocks DENV replication in insect cells, but not the mammalian cells evaluated here. Our study provides new insights into ESV-induced suppression of DENV, a globally important pathogen impacting public health.",M,Other study aim,,,NA,"8,9"
"Stokes, JE; Darpel, KE; Gubbins, S; Carpenter, S; de Marco, MDF; Hernandez-Triana, LM; Fooks, AR; Johnson, N; Sanders, C",10.1186/s13071-020-04485-5,PARASITES & VECTORS,Investigation of bovine ephemeral fever virus transmission by putative dipteran vectors under experimental conditions,"Background: Bovine ephemeral fever virus (Rhabdoviridae: Ephemerovirus) (BEFV) causes bovine ephemeral fever (BEF), an economically important disease of cattle and water buffalo. Outbreaks of BEF in Africa, Australia, Asia and the Middle East are characterized by high rates of morbidity and highly efficient transmission between cattle hosts. Despite this, the vectors of BEFV remain poorly defined. Methods: Colony lines of biting midges (Culicoides sonorensis) and mosquitoes (Aedes aegypti, Culex pipiens and Culex quinquefasciatus) were infected with a strain of BEFV originating from Israel by feeding on blood-virus suspensions and by intrathoracic inoculation. In addition, in vivo transmission of BEFV was also assessed by allowing C. sonorensis inoculated by the intrathoracic route to feed on male 6 month-old Holstein-Friesian calves. Results: There was no evidence of BEFV replication within mosquitoes fed on blood/virus suspensions for mosquitoes of any species tested for each of the three colony lines. In 170 C. sonorensis fed on the blood/virus suspension, BEFV RNA was detected in the bodies of 13 individuals and in the heads of two individuals, indicative of fully disseminated infections and an oral susceptibility rate of 1.2%. BEFV RNA replication was further demonstrated in all C. sonorensis that were inoculated by the intrathoracic route with virus after 5, 6 or 7 days post-infection. Despite this, transmission of BEFV could not be demonstrated when infected C. sonorensis were allowed to feed on calves. Conclusions: No evidence for infection or dissemination of BEFV (bovine/Israel/2005-6) in mosquitoes of three different species was found. Evidence was found for infection of C. sonorensis by the oral route. However, attempts to transmit BEFV to calves from infected C. sonorensis failed. These results highlight the challenge of defining the natural vector of BEFV and of establishing an in vivo transmission model. The results are discussed with reference to the translation of laboratory-based studies to inference of vector competence in the field.",Y,,,,2020,"10,11,12"
"de Lataillade, LD; Vazeille, M; Obadia, T; Madec, Y; Mousson, L; Kamgang, B; Chen, CH; Failloux, AB; Yen, PS",10.1038/s41467-020-19625-9,NATURE COMMUNICATIONS,Risk of yellow fever virus transmission in the Asia-Pacific region,"Historically endemic to Sub-Saharan Africa and South America, yellow fever is absent from the Asia-Pacific region. Yellow fever virus (YFV) is mainly transmitted by the anthropophilic Aedes mosquitoes whose distribution encompasses a large belt of tropical and sub tropical regions. Increasing exchanges between Africa and Asia have caused imported YFV incidents in non-endemic areas, which are threatening Asia with a new viral emergence. Here, using experimental infections of field-collected mosquitoes, we show that Asian-Pacific Aedes mosquitoes are competent vectors for YFV. We observe that Aedes aegypti populations from Singapore, Taiwan, Thailand, and New Caledonia are capable of transmitting YFV 14 days after oral infections, with a number of viral particles excreted from saliva reaching up to 23,000 viral particles. These findings represent the most comprehensive assessment of vector competence and show that Ae. aegypti mosquitoes from the Asia-Pacific region are highly competent to YFV, corroborating that vector populations are seemingly not a brake to the emergence of yellow fever in the region. Yellow fever is absent from the Asia/Pacific region, despite presence of the mosquito vector. Here, the authors demonstrate that mosquitoes collected from field sites across the region are capable of transmitting yellow fever virus, indicating that vector competence is not a barrier to disease spread.",Y,,,,2020,"13,14,15,16,17,18,19,20,21,22,23,24,25,26"
"Alomar, AA; Eastmond, BH; Alto, BW",10.1371/journal.pntd.0008846,PLOS NEGLECTED TROPICAL DISEASES,The effects of exposure to pyriproxyfen and predation on Zika virus infection and transmission in Aedes aegypti,"Author summary Mosquito control approaches primarily depend on lowering the number of potential adult mosquito vectors by inhibiting juvenile stages to reduce the risk of pathogen transmission. Pyriproxyfen is a juvenile hormone analog that inhibits the emergence of adult mosquitoes by interrupting metamorphosis, but does not target larvae. This mechanism allows natural source of mortality like predation to act in combination with pyriproxyfen to affect mosquito population size. Here, we determined the effects of juvenile exposure to pyriproxyfen and predatory mosquito Toxorhynchites rutilus on adult Aedes aegypti traits, including infection with Zika virus. Combined effects of pyriproxyfen and Tx. rutilus led to strong inhibition of adult emergence in Ae. aegypti. Treatments containing predators or those mimicking the daily mortality of predation produced larger sized adults. Susceptibility to ZIKV infection was lowest in the predator treatment and highest in the pyriproxyfen treatment. Disseminated infection, transmission, and viral titers of ZIKV were similar between treatments. Our data suggest that the combination of pyriproxyfen and predators can enhance inhibition of adult Ae. aegypti emergence, but survivors may have fitness benefits such being larger mosquitoes. Understanding the consequences of control approaches in mosquito-pathogen interactions will assist to evaluate their suitability in mosquito control programs. Zika virus (ZIKV) is an emerging mosquito-borne pathogen that can cause global public health threats. In the absence of effective antiviral medications, prevention measures rely largely on reducing the number of adult mosquito vectors by targeting juvenile stages. Despite the importance of juvenile mosquito control measures in reducing adult population size, a full understanding of the effects of these measures in determining mosquito phenotypic traits and in mosquito-arbovirus interactions is poorly understood. Pyriproxyfen is a juvenile hormone analog that primarily blocks adult emergence, but does not cause mortality in larvae. This mechanism has the potential to work in combination with other juvenile sources of mortality in nature such as predation to affect mosquito populations. Here, we experimentally evaluated the effects of juvenile exposure to pyriproxyfen and predatory mosquito Toxorhynchites rutilus on Aedes aegypti phenotypes and susceptibility to ZIKV infection and transmission. We discovered that combined effects of pyriproxyfen and Tx. rutilus led to higher inhibition of adult emergence in Ae. aegypti than observed in pyriproxyfen or Tx. rutilus treatments alone. Adult body size was larger in treatments containing Tx. rutilus and in treatments mimicking the daily mortality of predation compared to control or pyriproxyfen treatments. Susceptibility to infection with ZIKV in Ae. aegypti was reduced in predator treatment relative to those exposed to pyriproxyfen. Disseminated infection, transmission, and titers of ZIKV in Ae. aegypti were similar in all treatments relative to controls. Our data suggest that the combination of pyriproxyfen and Tx. rutilus can inhibit adult Ae. aegypti emergence but may confer a fitness advantage in survivors and does not inhibit their vector competence for ZIKV relative to controls. Understanding the ultimate consequences of juvenile mosquito control measures on subsequent adults' ability to transmit pathogens is critical to fully understand their overall impacts.",M,Confounding treatments ,,,2020,27
"Ye, GG; Wang, YJ; Liu, XY; Dong, QN; Cai, QX; Yuan, ZM; Xia, H",10.1371/journal.pntd.0008920,PLOS NEGLECTED TROPICAL DISEASES,"Transmission competence of a new mesonivirus, Yichang virus, in mosquitoes and its interference with representative flaviviruses","Author summary Mosquitoes transmit many pathogenic viruses, such as dengue virus, Zika virus, and Japanese encephalitis virus, which are of great burden to public health worldwide, notably in the tropical regions. In addition, they also harbor a number of insect-specific viruses (ISVs), however, little is known about the role for the ISV in mosquito populations and their interaction with arboviruses. Yichang virus (YCV) is a newly identified member of the Mesoniviridae family discovered in Culex mosquitoes collected from Hubei, China. In this article, we investigate the transmission competence of Cx. quinquefasciatus and Ae. albopictus for YCV, and its interaction with mosquito-borne flaviviruses in vitro. Our study shows, for the first time, that this virus could be horizontally and vertically transmitted, thus strongly inhibiting the replication of the pathogenic dengue virus serotype 2(DENV-2)in C6/36 cells, and reduced transmission of DENV-2 in Ae. albopictus. These data provide further insight on the transmission mechanism of ISVs and how they interact with flaviviruses. Advances in technology have greatly stimulated the understanding of insect-specific viruses (ISVs). Unfortunately, most of these findings are based on sequencing technology, and laboratory data are scarce on the transmission dynamics of ISVs in nature and the potential effects of these viruses on arboviruses. Mesonivirus is a class of ISVs with a wide geographical distribution. Recently, our laboratory reported the isolation of a novel strain of mesonivirus, Yichang virus (YCV), from Culex mosquitoes, China. In this study, the experimental infection of YCV by the oral route for adult and larvae mosquitoes, and the vertical transmission has been conducted, which suggests that YCV could adopt a mixed-mode transmission. Controlled experiments showed that the infectivity of YCV depends on the mosquito species, virus dose, and infection route. The proliferation curve and tissue distribution of YCV in Cx. quinquefasciatus and Ae. albopictus showed that YCV is more susceptible to Ae. albopictus and is located in the midgut. Furthermore, we also assessed the interference of YCV with flaviviruses both in vitro and in vivo. YCV significantly inhibited the proliferation of DENV-2 and ZIKV, in cell culture, and reduced transmission rate of DENV-2 in Ae. albopictus. Our work provides insights into the transmission of ISVs in different mosquito species during ontogeny and their potential ability to interact with mosquito-borne viruses.",Y,,,,2020,28
"Raileanu, C; Tauchmann, O; Vasic, A; Neumann, U; Tews, BA; Silaghi, C",10.3390/pathogens9100780,PATHOGENS,Transstadial Transmission and Replication Kinetics of West Nile Virus Lineage 1 in Laboratory Reared Ixodes ricinus Ticks,"West Nile virus (WNV) is a mosquito-borne agent that has also been isolated from several tick species. Vector competence of Ixodes ricinus, one of the most common tick species in Europe, has been poorly investigated for WNV to date. As such, to evaluate the vector competence, laboratory reared Ixodes ricinus nymphs were in vitro fed with WNV lineage 1 infectious blood, allowed to molt, and the resulting females artificially fed to study the virus transmission. Furthermore, we studied the kinetics of WNV replication in ticks after infecting nymphs using an automatic injector. Active replication of WNV was detected in injected nymphs from day 7 post-infection until 28 dpi. In the nymphs infected by artificial feeding, the transstadial transmission of WNV was confirmed molecularly in 46.7% of males, while virus transmission during in vitro feeding of I. ricinus females originating from infected nymphs was not registered. The long persistence of WNV in I. ricinus ticks did not correlate with the transmission of the virus and it is unlikely that I. ricinus represents a competent vector. However, there is a potential reservoir role that this tick species can play, with hosts potentially acquiring the viral agent after ingesting the infected ticks.",Y,,checked,Only tests ticks,2020,
"Kuo, LL; Jaeger, AS; Banker, EM; Bialosuknia, SM; Mathias, N; Payne, AF; Kramer, LD; Aliota, MT; Ciota, AT",10.1371/journal.ppat.1008951,PLOS PATHOGENS,Reversion to ancestral Zika virus NS1 residues increases competence ofAedes albopictus,"Both mosquito species-specific differences and virus strain -specific differences impact vector competence. Previous results in our laboratory with individual populations of N. American mosquitoes support studies suggestingAedes aegyptiare more competent thanAe.albopictusfor American Zika virus (ZIKV) strains and demonstrate that U.S.Ae.albopictushave higher competence for an ancestral Asian ZIKV strain. A982V, an amino acid substitution in the NS1 gene acquired prior to the American outbreak, has been shown to increase competence inAe.aegypti. We hypothesized that variability in the NS1 could therefore contribute to species-specific differences and developed a reverse genetics system based on a 2016 ZIKV isolate from Honduras (ZIKV-WTic) to evaluate the phenotypic correlates of individual amino acid substitutions. In addition to A982V, we evaluated G894A, which was acquired during circulation in the Americas. Reversion of 982 and 894 to ancestral residues increased infectivity, transmissibility and viral loads inAe.albopictusbut had no effect on competence or replication inAe.aegypti. In addition, while host cell-specific differences in NS1 secretion were measured, with significantly higher secretion in mammalian cells relative to mosquito cells, strain-specific differences in secretion were not detected, despite previous reports. These results demonstrate that individual mutations in NS1 can influence competence in a species-specific manner independent of differences in NS1 secretion and further indicate that ancestral NS1 residues confer increased competence inAe.albopictus. Lastly, experimental infections ofIfnar1(-/-)mice demonstrated that these NS1 substitutions can influence viral replication in the host and, specifically, that G894A could represent a compensatory change following a fitness loss from A982V with some viral genetic backgrounds. Together these data suggest a possible role for epistatic interactions in ZIKV fitness in invertebrate and vertebrate hosts and demonstrate that strains with increased transmission potential in U.S.Ae.albopictuscould emerge. Author summary The factors that facilitated the emergence and rapid dissemination of ZIKV in the Americas, and the specific role of strain variation and adaptive evolution in ZIKV transmission, are not fully understood. It has been shown that an amino acid substitution in the NS1 gene acquired prior to the American outbreak confers increased infectivity inAe.aegypti. Therefore, we hypothesized that variability in the NS1 could contribute to species-specific differences. To investigate the role of the ZIKV NS1 in competence of bothAe.aegyptiandAe.albopictuswe utilized reverse genetics to revert to the ancestral NS1 residues and characterized the resultant mutant strains. Reversions increased infectivity, transmissibility and viral loads inAe.albopictusbut had no effect on competence or replication inAe.aegypti. Additionally, we assessed the effect of these mutations on NS1 secretion and both virulence and viremia kinetics using a ZIKV mouse model. NS1 secretion, as well as vertebrate morbidity or mortality, were similar among strains, yet strain-specific differences in viremia levels were identified. These results demonstrate that individual mutations in NS1 can influence competence in a species-specific manner independent of differences in NS1 secretion and further indicate that ancestral NS1 residues confer increased competence inAe.albopictus. Moreover, contrasting these data with previous studies suggests a role for epistatic interactions in ZIKV fitness in invertebrate and vertebrate hosts.",M,Confounding treatments ,,,2020,"29,30"
